Title,Artist
"Thinking out Loud","Ed Sheeran"
"You're Still The One","Shania Twain"
"Just the Way You Are","Bruno Mars"
"Marry You","Bruno Mars"
"a thousand years","Christina Perri"
"At Last","Etta James"
"Make You Feel My Love","Adele"
"Amazed","Lonestar"
"Iris","The Goo Goo Dolls"
"All of Me","John Legend"
"I Don't Want To Miss A Thing","Aerosmith"
"Your Song","Elton John"
"I'm Yours","Jason Mraz"
"I Will Always Love You","Whitney Houston"
"Lover","Taylor Swift"
"You Make My Dreams (Come True)","Daryl Hall & John Oates"
"Wonderful Tonight","Eric Clapton"
"I Won't Give Up","Jason Mraz"
"Everything","Michael Bublé"
"The One","Kodaline"
"Crazy Love (2013 Remaster)","Van Morrison"
"Speechless","Dan + Shay"
"You Are The Best Thing","Ray Lamontagne"
"You And Me","Lifehouse"
"Yellow","Coldplay"
"Perfect","Ed Sheeran"
"Stand By Me","Ben E. King"
"24K Magic","Bruno Mars"
"Give Me Everything (feat. Nayer)","Pitbull"
"Get Lucky (feat. Pharrell Williams and Nile Rodgers)","Daft Punk"
"If I Ain't Got You","Alicia Keys"
"Feel So Close (Radio Edit)","Calvin Harris"
"Say You Won't Let Go","James Arthur"
"You Are The Reason","Calum Scott"
"What A Wonderful World","Louis Armstrong"
"I Love You So","The Walters"
"Because You Loved Me (Theme from Up Close and Personal)","Céline Dion"
"Sweet Caroline","Neil Diamond"
"Best Day Of My Life","American Authors"
"Better Together","Jack Johnson"
"Lucky","Jason Mraz"
"Chasing Cars","Snow Patrol"
"More Than Words","Extreme"
"I Only Have Eyes for You","The Flamingos"
"For Once In My Life","Stevie Wonder"
"Your Song (Bonus Track)","Ellie Goulding"
"Make It with You","Bread"
"Last Request","Paolo Nutini"
"Crazy for You (Edit)","Madonna"
"I Have Nothing","Whitney Houston"
"Green Eyes","Coldplay"
"Wouldn't It Be Nice (Mono)","The Beach Boys"
"Tenerife Sea","Ed Sheeran"
"Kiss Me","Ed Sheeran"
"Baby I'm Yours","Arctic Monkeys"
"Can't Help Falling in Love","Elvis Presley"
"Have I Told You Lately (2008 Remaster)","Rod Stewart"
"Ignition (Remix)","R. Kelly"
"Higher Love","James Vincent McMorrow"
"Unchained Melody","The Righteous Brothers"
"Crazy Love","Michael Bublé"
"Come to Me","The Goo Goo Dolls"
"My Valentine","Paul McCartney"
"She's Everything","Brad Paisley"
"Real Love (From the John Lewis Christmas Advert 2014)","Tom Odell"
"How Do I Live","LeAnn Rimes"
"Then","Brad Paisley"
"God Gave Me You","Blake Shelton"
"My Best Friend","Tim McGraw"
"It Had To Be You (2009 Remaster)","Frank Sinatra"
"How Sweet It Is (To Be Loved By You)","Marvin Gaye"
"Bless the Broken Road","Rascal Flatts"
"Die With A Smile","Lady Gaga"
"Take on Me","a-ha"
"Shape of You","Ed Sheeran"
"Locked out of Heaven","Bruno Mars"
"I Gotta Feeling","The Black Eyed Peas"
"Dancing Queen","ABBA"
"We Found Love (Album Version)","Rihanna"
"The Scientist","Coldplay"
"Gimme! Gimme! Gimme! (A Man After Midnight)","ABBA"
"Africa","Toto"
"Dog Days Are Over","Florence + The Machine"
"Cruel Summer","Taylor Swift"
"Dance Monkey","Tones And I"
"Yeah! (feat. Lil Jon & Ludacris)","USHER"
"On The Floor","Jennifer Lopez"
"That's What I Like","Bruno Mars"
"Careless Whisper","George Michael"
"Hotel Room Service","Pitbull"
"September","Earth, Wind & Fire"
"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit"
"Womanizer","Britney Spears"
"Dance The Night (From Barbie The Album)","Dua Lipa"
"I Like It","Cardi B"
"Party Rock Anthem","LMFAO"
"Purple Rain (7 Single Edit; 2017 Remaster)","Prince"
"Sparks","Coldplay"
"Respect","Aretha Franklin"
"Leave The Door Open","Bruno Mars"
"Addicted To You","Avicii"
"Believe","Cher"
"Count on Me","Bruno Mars"
"She Will Be Loved","Maroon 5"
"Island In The Sun","Weezer"
"Fast Car","Tracy Chapman"
"High Hopes","Panic! At The Disco"
"Beautiful Things (Acoustic)","Benson Boone"
"Hall of Fame (feat. will.i.am)","The Script"
"Adore You","Harry Styles"
"Modern Love (2018 Remaster)","David Bowie"
"Love Never Felt So Good","Michael Jackson"
"Baby Can I Hold You","Tracy Chapman"
"Angels","Robbie Williams"
"Want to Want Me","Jason Derulo"
"Thank You","Dido"
"A Thousand Miles","Vanessa Carlton"
"Sure Thing","Miguel"
"Skinny Love","Birdy"
"Right Here Waiting","Richard Marx"
"One","U2"
"Dynamite","Taio Cruz"
"You Make Me Feel... (feat. Sabi)","Cobra Starship"
"Just the Two of Us (feat. Bill Withers)","Grover Washington, Jr."
"Friday I'm In Love","The Cure"
"Use Somebody","Kings Of Leon"
"Tennessee Whiskey","Chris Stapleton"
"The Lady In Red","Chris de Burgh"
"You're Beautiful","James Blunt"
"True (Single Edit)","Spandau Ballet"
"Good Riddance (Time of Your Life)","Green Day"
"Don't Start Now","Dua Lipa"
